132082,Customer#000132082,53303.9052,1794.84,CANADA
141118,Customer#000141118,65754.18,4469.48,CANADA
141118,Customer#000141118,104511.3803,4469.48,CANADA
141118,Customer#000141118,105442.3103,4469.48,CANADA
141118,Customer#000141118,143555.1963,4469.48,CANADA
8305,Customer#000008305,39657.3985,4350.44,CANADA
8305,Customer#000008305,60153.7465,4350.44,CANADA
8305,Customer#000008305,71550.8077,4350.44,CANADA
233,Customer#000000233,71748.6224,3998.24,CANADA
233,Customer#000000233,106891.6478,3998.24,CANADA
233,Customer#000000233,129908.2568,3998.24,CANADA
102763,Customer#000102763,13163.31,2232.37,CANADA
102763,Customer#000102763,36480.846,2232.37,CANADA
102763,Customer#000102763,41716.152,2232.37,CANADA
102763,Customer#000102763,53280.6504,2232.37,CANADA
33028,Customer#000033028,73122.318,6030.33,CANADA
53720,Customer#000053720,53814.53,4988.41,CANADA
53720,Customer#000053720,113160.908,4988.41,CANADA
53720,Customer#000053720,117493.744,4988.41,CANADA
53720,Customer#000053720,120707.1328,4988.41,CANADA
53720,Customer#000053720,135206.272,4988.41,CANADA
53720,Customer#000053720,189109.072,4988.41,CANADA
140752,Customer#000140752,59381.478,238.27,CANADA
140752,Customer#000140752,93791.2192,238.27,CANADA
132163,Customer#000132163,40355.568,4522.34,CANADA
15139,Customer#000015139,53492.16,5601.01,CANADA
15139,Customer#000015139,73326.5328,5601.01,CANADA
15139,Customer#000015139,108526.4872,5601.01,CANADA
15139,Customer#000015139,175292.0546,5601.01,CANADA
15139,Customer#000015139,203727.1886,5601.01,CANADA
20653,Customer#000020653,5862.066,549.69,CANADA
20653,Customer#000020653,83012.4932,549.69,CANADA
20653,Customer#000020653,103444.2572,549.69,CANADA
1717,Customer#000001717,56168.4032,1715.4,CANADA
1717,Customer#000001717,91060.088,1715.4,CANADA
146326,Customer#000146326,21459.6756,4432.54,CANADA
97922,Customer#000097922,3007.9104,760.16,CANADA
26603,Customer#000026603,31016.7006,-219.99,CANADA
26603,Customer#000026603,37072.5326,-219.99,CANADA
65647,Customer#000065647,20580.56,524.48,CANADA
65647,Customer#000065647,55312.208,524.48,CANADA
